qid,gender,citizenship,occupation,cause_of_death
Q327190,male,Kingdom of Denmark,politician|lawyer,
Q327978,male,United Kingdom,association football player,
Q329459,,,,
Q329700,male,United States,film actor|television actor|painter|character actor|writer|actor|screenwriter,
Q330432,male,United States,film actor|television actor|stunt performer|actor,
Q331773,male,Serbia|Serbia and Montenegro|Socialist Federal Republic of Yugoslavia,political commissar|diplomat|politician,
Q332360,male,United Kingdom|United Kingdom of Great Britain and Ireland,autobiographer|engineer|politician|writer,
Q332576,male,United Kingdom,trade unionist|politician,
Q332610,male,Ireland|United States,engineer|architect,
Q333250,female,United Kingdom,politician,
Q333460,male,India|British Raj,philanthropist|engineer|entrepreneur|businessperson,
Q333620,male,United States,prophet|priest|writer,
Q3137969,male,Ecuador,athletics competitor,
Q3154381,female,Russia,singer|actor,
Q3186033,male,United States,sociolinguist|non-fiction writer|linguist|sociologist|university teacher,
Q3207366,female,Spain|France,bailadora flamenca|dancer|painter|actor,
Q3240738,male,United States,Protestant theologian|non-fiction writer|radio personality|theologian|pastor|writer,
Q3246068,male,Japan,association football player,
Q3250277,male,Bangladesh|Pakistan|British Raj,barrister|politician,
Q3276635,male,United States,politician|lawyer,
Q3279442,male,United States|Republic of China,university teacher|geographer|writer,
Q3288614,male,France,singer,
Q3293913,female,Greece,politician|physician,
Q3297953,female,United States,film actor|dancer|choreographer|stage actor|actor,
Q3303105,male,Japan,association football player|association football coach,
Q3320231,female,Spain,molecular biologist|molecular geneticist|geneticist|biochemist|university teacher|scientist,
Q3324468,male,Canada,journalist|comedian|actor,
Q3335602,female,United States,astronomer,
Q3281,female,Sweden,film director|politician|writer,
Q31959,male,United States,autobiographer|jazz musician|jazz guitarist|guitarist|musician|composer|writer,
Q32439,female,France,audiobook narrator|film actor|actor,
Q33218,female,Spain,dog breeder|horse breeder,
Q314801,male,United States,actor|screenwriter|film actor|television actor|stage actor|director|character actor,
Q315348,male,United States,sports journalist|land artist|draftsperson|visual artist|painter|sculptor|illustrator|artist|poet|writer,
Q315408,male,United Kingdom,banjoist|guitarist|songwriter|singer-songwriter|singer,
Q315417,male,Jamaica,songwriter|musician|record producer|singer|disc jockey|composer,
Q315454,male,Italy|Kingdom of Italy,population geneticist|anthropologist|geneticist|biologist|university teacher,
Q315579,male,Japan,politician,
Q315683,male,United States,novelist|university teacher|writer,
Q315868,male,Azerbaijan|Israel,Bible translator|linguist|radio personality|journalist|translator|writer,
Q315972,male,Japan,diplomat|politician,
Q315979,male,Australia,politician,
Q316147,male,United States|Hungary,philosopher|university teacher|psychologist,
Q316282,male,United Kingdom,guitar performance|recording artist|autobiographer|guitarist|songwriter|pianist|singer|composer,
Q316417,male,United States,test pilot|aircraft pilot|military personnel|astronaut,
Q316857,male,United States,television actor|video game actor|film actor|film producer|voice actor|screenwriter|comedian|actor,
Q316942,male,Democratic Republic of the Congo,politician|minister,
Q317114,male,Germany,judoka|university teacher,
Q317139,male,Spain|Argentina,draftsperson|caricaturist|cartoonist|comics artist,
Q317161,male,United States,saxophonist|jazz musician|composer,
Q317405,male,Norway,politician|economist,
Q317681,male,Mexico,diplomat|politician|jurist,
Q317792,male,Russia,physician|astronaut,
Q313001,male,United Kingdom,literary theorist|novelist|literary critic|university teacher|playwright|writer|screenwriter,
Q313013,male,United States,bass guitarist|music executive|music arranger|keyboardist|pianist|songwriter|guitarist|record producer|musician|singer-songwriter|singer|composer|actor,
Q313023,male,United States|United Kingdom,television actor|film actor|stage actor|author|musician,
Q313139,male,United States,poker player|writer,
Q313242,male,Mali,politician|military personnel,
Q313347,male,United Kingdom,Catholic bishop|Catholic priest,
Q313364,male,Switzerland,association football national coach|association football player|association football coach,
Q313399,male,Russia,aircraft pilot|politician|military personnel|writer|astronaut,
Q313411,male,United States,university teacher|diplomat|entrepreneur|economist|politician|military personnel,
Q313452,male,Russia|Soviet Union,amateur wrestler|politician,
Q313464,male,United States,television actor|film actor|voice actor|weather presenter|writer|actor,
Q313505,male,United Kingdom,singer,
Q313674,male,United Kingdom,autobiographer|association football national coach|association football player|association football coach,
Q313905,male,Greece,pole vaulter|athletics competitor,
Q313908,male,Kingdom of the Netherlands,sociologist|university teacher|psychologist|economist,
Q314009,male,Sri Lanka,politician,
Q314039,male,United Kingdom,autobiographer|association football player|association football coach,
Q314148,male,France,secondary school teacher|university teacher|historian,
Q314424,male,United States,film actor|television actor|dancer|guitarist|singer-songwriter|pianist|singer|record producer|composer|actor,
Q314630,male,Chile,association football player|association football coach,
Q314636,male,United States,draftsperson|designer|university teacher|painter|architect,
Q356990,male,Slovakia|Czechoslovakia,university teacher|pedagogue|banker|economist|politician,Parkinson's disease
Q359381,male,Saudi Arabia,arms trader|entrepreneur|businessperson,Parkinson's disease
Q357757,male,United States,basketball player,traffic collision
Q353155,male,United States,film actor|television actor|stage actor|actor,disease
Q361238,male,United States,program host|director|television director|actor,Alzheimer's disease
Q333833,male,Italy,diplomat|jurist|politician|judge,cancer
Q336766,male,United Kingdom,university teacher|theologian|rabbi,cancer
Q347679,male,Moldova,politician,cancer
Q356741,male,Ethiopia,historian|minister|politician,disease
Q3514842,female,United States,film actor|television actor|stage actor|musician|singer|actor,disease
Q354634,male,United States,architectural theoretician|critic|designer|landscape architect|art historian|historian|architect,cancer
Q3533955,female,Morocco,film actor|theatre director|stage actor|politician|actor,cancer|COVID-19
Q354659,male,United States,university teacher|physicist|mathematician,myocardial infarction
Q355652,male,United States,draftsperson|comics artist|illustrator|screenwriter,myocardial infarction
Q356389,male,Barbados,economist|politician,myocardial infarction
Q357951,male,Iran|statelessness|Pahlavi Iran,memoirist|refugee,myocardial infarction
Q3369416,male,Cameroon,association football player,myocardial infarction
Q3575702,male,Serbia|Yugoslavia,association football coach|association football player,myocardial infarction|COVID-19
Q334219,male,Italy,short story writer|prose writer|novelist|director|film director|television director|playwright|poet|writer|screenwriter,myocardial infarction
Q336222,male,United States,guitarist|songwriter|singer,myocardial infarction
Q345221,male,United Kingdom,association football coach|association football player,myocardial infarction
Q349033,male,Barbados,politician|judge,myocardial infarction
Q352611,male,Italy|Uruguay|Kingdom of Italy,association football player|association football coach,myocardial infarction
Q352713,male,United States,professional wrestler,myocardial infarction
Q352820,male,United Kingdom,sports commentator|association football player|association football coach,myocardial infarction
Q358158,male,France|Brazil,environmentalist|photojournalist|painter|economist|photographer,leukemia
Q358519,male,Canada,ice hockey player,stroke
Q335232,male,United States,novelist|essayist|university teacher|author|playwright|professor|writer|screenwriter,lung cancer
Q342862,male,United States,air force officer|balloonist|fighter pilot,lung cancer
Q3516498,male,United States,film actor|television actor|painter|actor|screenwriter,liver cancer
Q361139,male,United States,politician,lung cancer
Q34580,male,Japan,tarento|lyricist|singer-songwriter|seiyū|singer|composer|actor,lung cancer
Q361149,male,United States,novelist|science fiction writer|mechanical engineer|editor|military engineer|writer,heart disease
Q360471,male,United Kingdom|Russia|Soviet Union,neurophysiologist|human rights defender|dissident|politician|writer,cardiac arrest
Q3473673,female,India,dancer|choreographer|screenwriter,cardiac arrest
Q3518489,male,India|British Raj|Dominion of India,politician|military personnel|writer,cardiac arrest
Q3595821,female,India|British Raj|Dominion of India,dancer|choreographer|teacher|writer,respiratory failure
Q335,male,Chile,university teacher|jurist|politician|lawyer,respiratory failure
Q355237,male,France,philosopher|anthropologist|sociologist|professor|writer,pancreatic cancer
Q361297,male,United States,music executive|autobiographer|boxer|talent agent|talent manager|musician|record producer|composer|actor|screenwriter,pancreatic cancer
Q361418,male,Portugal,association football player,pancreatic cancer
Q358529,male,Italy|Kingdom of Italy,philosopher|university teacher|sociologist|journalist|political scientist|writer,laryngeal cancer
Q3575465,male,Lebanon,jazz musician|songwriter|musician|pianist|singer|composer|actor,liver cirrhosis
Q354047,male,United States|Colombia,drug trafficker,liver failure|kidney failure
Q359366,male,United States,head teacher|politician|teacher,multiple organ dysfunction syndrome
Q3518444,male,India,film actor|film director|stage actor|writer|screenwriter,multiple organ dysfunction syndrome
Q3519488,male,India|British Raj|Dominion of India,creator|cartoonist|illustrator|artist,multiple organ dysfunction syndrome
Q360927,male,India,film actor|television actor|stage actor|actor,neuroendocrine tumor
Q3347367,female,Indonesia,model|announcer|singer|actor,cervix uterine cancer
