qid,gender,citizenship,occupation,cause_of_death
Q12279333,male,Bulgaria,philanthropist|ascetic,
Q12420576,male,India|British Raj|Dominion of India,essayist|critic|poet|writer,
Q12850258,male,Azerbaijan|Soviet Union,opinion journalist|journalist|historian|screenwriter|writer,
Q119791048,male,Canada|India,activist|community leader|plumber,
Q120028551,,,,
Q120489744,male,Argentina,friar|Catholic priest,
Q123121296,male,Palestine,literary scholar|academic|poet|writer,
Q124477340,,,,
Q124660835,,,,
Q125290608,male,United Kingdom,accountant,
Q131389544,,,,
Q131617247,,,,
Q1220,male,Italy,journalist|President of the Republic|politician,
Q1257,male,Egypt,general secretary|university teacher|diplomat|jurist|politician|writer,
Q12830,male,Germany,Esperantist|university teacher|political economist|mathematician|economist,
Q12836,male,Italy,esperantologist|linguist|Esperantist|university teacher,
Q12911,male,Marshall Islands,politician,
Q12913,male,Marshall Islands,politician,
Q12917,male,Marshall Islands,politician,
Q13407931,male,Turkey,association football player,traffic collision
Q135196491,male,Portugal,association football player,traffic collision
Q1395573,male,United States,television actor|street artist|magician|film actor|screenwriter|businessperson|actor,influenza
Q13560293,female,United States,film actor|actor,influenza
Q1371229,male,Canada,stand-up comedian|television actor|film actor|voice actor|television presenter|television producer|comedian|screenwriter,cancer
Q1375897,male,Sweden,association football player,cancer
Q1389589,male,United Kingdom,soloist|instrumentalist|musician|songwriter|singer-songwriter|record producer|singer|composer,cancer
Q1390515,male,United States,television actor|film actor|voice actor,cancer
Q1391263,male,Japan|Empire of Japan,judoka,cancer
Q1394609,male,United States,novelist|economist|musician|writer|photographer|screenwriter,cancer
Q1370968,male,United States,congressional staff|general counsel|politician|lawyer,myocardial infarction
Q1371434,male,Nigeria,association football player|association football coach,myocardial infarction
Q1377159,male,Russia,film director|film producer|television director|politician|actor|screenwriter,myocardial infarction
Q1378213,male,United States,theologian|pianist|singer|teacher,myocardial infarction
Q1395538,male,United States,novelist|journalist|screenwriter|writer,Parkinson's disease
Q1393963,male,Spain|Argentina,film actor|film director|actor,cerebral hemorrhage
Q1386899,male,United States,musical instrument maker|musician|singer-songwriter|singer,lymphoma
Q1389258,male,France|Kingdom of Denmark,consort|visual artist|aristocrat|sculptor|pianist|poet|writer,pneumonia
Q1389012,male,Egypt,theologian|politician,diabetes
Q1363254,male,Iran|Iraq,Islamic jurist|politician|judge,brain cancer
Q1363692,male,United States,songwriter|musician|lyricist|pianist|composer,lung disease
Q1395375,male,Czech Republic|Czechoslovakia,financier|entrepreneur|businessperson,aircraft crash
Q1385806,male,United States,American football player|boxer,dementia
Q134333,male,United Kingdom,autobiographer|film actor|television actor|film producer|voice actor|stage actor|television director|television producer|military personnel|actor,cancer
Q138627,male,United Kingdom,swimmer,cancer
Q1337925,male,United States,director|film director|film producer|screenwriter,cancer
Q1341731,male,France,political theorist|non-fiction writer|political activist|essayist|philosopher|lecturer|opinion journalist|journalist|university teacher,cancer
Q1348089,male,Japan,judoka|professor,cancer
Q1356487,male,United States,music educator|musicologist|classical pianist|pianist|conductor,cancer
Q1358990,male,Russia|Soviet Union,ice hockey player|ice hockey coach,cancer
Q1370431,male,United States,jazz musician|music arranger|musician|freelancer|drummer|record producer|composer,leukemia
Q1366902,male,Norway,social anthropologist|non-fiction writer|university teacher|writer,pancreatic cancer
Q1367752,male,France,non-fiction writer|chef|restaurateur,pancreatic cancer
Q1379961,male,United States,film actor|television actor|stage actor|film director|film producer|actor,pancreatic cancer
Q1391309,male,India,politician,pancreatic cancer
Q1360365,male,Sweden,essayist|journalist|writer,disease
Q1366768,male,United States,professional wrestler|television actor|film actor|voice actor,arterial hypertension|arteriosclerotic cardiovascular disease
Q1336425,male,United States,amateur wrestler|mixed martial arts fighter|professional wrestler|actor,pneumonia
Q1337159,male,United States,boxer|film actor|television actor|stage actor|actor,pneumonia
Q1341627,male,United States,recording artist|film score composer|lyricist|musician|singer-songwriter|singer|poet|composer|writer|actor,pneumonia
Q1364618,male,France,musician|singer-songwriter|singer|composer,cardiac arrest
Q1372953,male,United States,film actor|television actor|stage actor|voice actor|actor,cardiac arrest
Q1363756,male,Kingdom of Romania|Socialist Republic of Romania,diarist|essayist|novelist|writer,COVID-19
Q1372228,male,France,French resistance fighter|film director|university teacher|historian|screenwriter,COVID-19
Q1375663,male,United States,guitarist|lyricist|musician|songwriter|translator|singer|disc jockey|poet|writer,surgical complications
Q1376522,male,Russia|Soviet Union,philologist|essayist|bibliographer|literary critic|journalist|librarian|poet|writer,struck by vehicle
Q1382825,male,Italy,team manager|motorcycle racer,COVID-19
Q1383590,male,France,politician|lawyer,COVID-19
Q1342019,male,Belgium,association football player|association football coach,stroke
Q1346976,male,Ireland|United States,non-fiction writer|novelist|playwright|writer,stroke
Q1351481,male,United States,graphic designer,stroke|kidney failure
Q1355449,male,Canada,ice hockey player|ice hockey coach,stroke
Q1334710,male,United Kingdom,film actor|television actor|stage actor|actor,myocardial infarction
Q1341518,male,United Kingdom,association football player|association football coach,myocardial infarction
Q1341874,male,Colombia,association football player,myocardial infarction
Q1344554,male,United States,guitarist|songwriter|musician|singer,myocardial infarction
Q1349639,male,United States,film actor|film score composer|musician|singer|conductor|composer|actor,myocardial infarction
Q1351055,male,Estonia,conductor,myocardial infarction
Q1344392,male,United States,entrepreneur|engineer|mathematician|computer scientist|businessperson,pancreatic cancer
Q1358703,male,Russia|Georgia|Soviet Union,art educator|designer|visual artist|sculptor|painter|architect,cardiac arrest
Q1374481,male,United States,film actor|television actor|film director|film producer|voice actor|television director|television producer|comedian|actor|screenwriter,thrombosis
Q139223,male,United Kingdom,opera composer|classical composer|music educator|librettist|film score composer|pedagogue|pianist|conductor|composer,leukemia
Q1350541,male,United States,film producer|television producer|screenwriter,leukemia
Q1371393,male,France|Nigeria,songwriter|drummer|conductor|composer,aortic aneurysm
Q1377715,male,Japan,video artist|children's writer|lyricist|translator|poet|writer|screenwriter,senility
Q1354181,male,United States,television actor|film actor|voice actor|actor,epilepsy
Q1339107,male,United States,recording artist|film actor|television actor|stage actor|musician|comedian|singer|composer|actor,Alzheimer's disease
Q1352236,male,United States,novelist|police officer|writer|actor|screenwriter,esophageal cancer
Q1335903,male,United States,professional wrestler,Parkinson's disease
Q1353638,male,United Kingdom,embryologist|inventor,Parkinson's disease
Q1370780,male,Japan|Empire of Japan,film director|television director|mangaka|screenwriter,aspiration pneumonia
Q1395208,male,Brazil,manager|television producer|television presenter|businessperson,bronchopneumonia
Q13774475,male,United States,singer,liver failure
Q1346591,male,United States,film actor|television actor|television director|actor,traffic collision
Q1352142,male,Spain,sport cyclist,traffic collision
Q1343304,male,Russia|Soviet Union,weightlifter,influenza
Q1346818,male,United Kingdom,recording artist|lyricist|songwriter|musician|singer-songwriter|singer|poet|actor,lung cancer|kidney cancer
Q1347777,male,Turkey,singer-songwriter|record producer|singer,lung cancer
Q1346651,male,United States,producer|film screenwriter|director|film producer|film director|playwright|writer|screenwriter|actor,multiple organ dysfunction syndrome
Q1356290,male,Sweden,tennis coach|tennis player,type 2 diabetes
Q138166,male,France,playwright|writer,pulmonary embolism
Q1356412,male,Canada,professional wrestler,pulmonary embolism
Q1339711,male,France,recording artist|film actor|musician|singer-songwriter|singer,dementia with Lewy bodies
Q1337855,male,United Kingdom,comedian|actor,falling from height
Q1344922,male,France,association football player,COVID-19
Q1360086,male,Argentina,association football player|association football coach,COVID-19
Q1361912,male,Belarus|Soviet Union,economist|politician|engineer,COVID-19
Q1362757,male,United States|France|Israel,personal stylist|fashion designer|entrepreneur,COVID-19
Q1335434,male,People's Republic of China,politician,bladder cancer
Q1349215,male,United States,television director|musician|poet|actor,drowning
Q1342961,male,Japan,television actor|child actor|seiyū|singer|actor,hanging to death
Q1359426,male,Belgium,association football player|association football coach,heart failure
Q1336716,male,United States,manufacturer|film actor|television actor|director|film director|film producer|comics artist|television presenter|comedian|actor|screenwriter,blunt trauma
Q138416,female,Spain,university teacher|politician|lawyer,congenital heart disease
Q1354766,male,United States,weightlifter|athlete,liver disease
Q1356665,male,United States,bass guitarist|guitarist|musician|singer-songwriter|singer|composer,chronic obstructive pulmonary disease
Q1347527,male,United States,basketball coach|basketball player,
Q1348044,male,United Kingdom,architect,
Q1348219,female organism,,research participant,
Q1349794,male,France,music educator|music teacher|music arranger|editor|organist|musician|pianist|composer,
Q1350527,male,United States,bassist|lyricist|guitarist|musician|singer-songwriter|singer,
Q1351447,male,United States,television actor|film actor|novelist|director|filmmaker|writer|actor,
Q1351554,male,United States,television writer|science fiction writer|comics writer|novelist|writer|screenwriter,
Q1353311,male,Australia,athletics competitor|middle-distance runner|politician|engineer,
Q1353499,male,Portugal,terrorist|revolutionary|politician|military personnel|general,
Q1353545,male,United Kingdom,association football player,
Q1354646,male,United States,musicologist|speaker|journalist|university teacher|impressionist|film score composer|musician|writer|composer,
